question;answer
На чому він спеціалізується Ваш магазин?;Це інтернет-магазин харчових товарів та інгредієнтів, який працює з роздрібними та оптовими замовленнями. Асортимент включає продукцію українського та імпортного виробництва.
Як оформити замовлення на сайті?;Оберіть товар і додайте його в кошик, перейдіть до оформлення замовлення, заповніть контактні дані, оберіть спосіб доставки та оплати і підтвердіть замовлення.
Які способи оплати доступні?;Доступна оплата банківською карткою онлайн, Apple Pay / Google Pay. Для оптових замовлень можливі інші способи оплати за домовленістю.
Які варіанти доставки доступні по Україні?;Доставка по Україні здійснюється операторами Нова пошта, Укрпошта та Meest Пошта. Доступні кур’єрська доставка, відправка у поштомати та отримання у пунктах видачі або відділеннях.
Скільки триває доставка?;Орієнтовні строки доставки: Нова пошта — 1–3 дні, Укрпошта — 3–5 днів, Meest Пошта — 3–5 днів. У пікові періоди строки можуть змінюватися.
Яку службу доставки краще обрати?;Для термінових відправлень рекомендуємо Нову пошту. Для економної доставки та відправлень у сільську місцевість часто обирають Укрпошту. Для використання поштоматів і міжнародної доставки, зокрема з Європи, зручно користуватися Meest.
Як відстежити посилку?;Після відправки замовлення клієнт отримує номер ТТН. Відстеження доступне через офіційні додатки Нової пошти, Укрпошти або Meest, а також за посиланням перевізника.
Чи можна змінити адресу доставки після оформлення замовлення?;Так, якщо замовлення ще не передано службі доставки. Для цього необхідно звернутися до служби підтримки та повідомити номер замовлення і нову адресу.
Чи можна скасувати замовлення?;Замовлення можна скасувати до моменту його відправлення. Для цього потрібно звернутися до служби підтримки та вказати номер замовлення.
Що робити, якщо товар прийшов пошкодженим?;У разі отримання пошкодженого товару необхідно зафіксувати пошкодження (фото упаковки та товару) в день отримання і звернутися до служби підтримки для вирішення питання.
Яка політика повернення товару?;"Повернення товарів можливе відповідно до чинного законодавства України. Умови повернення залежать від типу продукції; для харчових товарів діють встановлені законодавством обмеження."
Чи є сертифікати якості на продукцію?;Так. Уся продукція, як українського виробництва, так і імпортна, має необхідні сертифікати та/або декларації відповідності згідно з чинним законодавством. Копії сертифікатів надаються у випадку оптових замовлень за запитом клієнта.
Чи є знижки або спеціальні умови для оптових клієнтів?;Так, для оптових клієнтів передбачені індивідуальні умови співпраці, включно з цінами та супровідною документацією. Деталі узгоджуються окремо.
Як зв’язатися зі службою підтримки?;Звернутися до служби підтримки можна через чат на сайті або електронну пошту. Зазвичай відповіді надаються протягом робочого дня.
